[[-7.42364, 0.70156, 3.49017, 0.0829, -7.3288, -7.3288, -6.94494, 0.50357, -7.71265, 0.90991],
[-7.24284, 0.94225, 3.16465, 0.08963, -7.17418, -7.17418, -6.7936, 0.78962, -7.55477, 1.20809],
[-7.06126, 1.16772, 2.8488, 0.09737, -7.01496, -7.01496, -6.63701, 1.07452, -7.3929, 1.50244],
[-6.87965, 1.3747, 2.50403, 0.10808, -6.85213, -6.85213, -6.47296, 1.36432, -7.2313, 1.78788],
[-6.69741, 1.56176, 2.20418, 0.11931, -6.69096, -6.69096, -6.30683, 1.662, -7.0751, 2.06729],
[-6.5111, 1.72869, 1.93961, 0.13131, -6.54905, -6.54905, -6.18589, 1.89314, -6.91221, 2.37411],
[-6.3209, 1.86422, 1.93961, 0.12673, -6.42023, -6.42023, -6.09133, 2.07174, -6.74913, 2.64979],
[-6.15828, 2.036, 1.93961, 0.12195, -6.28247, -6.28247, -5.99585, 2.2319, -6.5691, 2.89526],
[-5.98952, 2.18824, 1.93961, 0.11718, -6.13542, -6.13542, -5.89728, 2.36745, -6.37355, 3.10075],
[-5.81384, 2.31795, 1.93961, 0.11259, -5.97788, -5.97788, -5.79185, 2.47577, -6.16391, 3.26188],
[-5.62991, 2.42181, 1.93961, 0.1089, -5.81035, -5.81035, -5.67741, 2.55709, -5.94329, 3.38049],
[-5.43479, 2.49528, 2.36482, 0.08817, -5.63307, -5.63307, -5.5523, 2.60992, -5.71384, 3.45675],
[-5.23089, 2.54881, 2.60203, 0.08102, -5.44682, -5.44682, -5.41607, 2.63444, -5.47757, 3.49369],
[-5.01847, 2.58526, 2.86312, 0.07527, -5.25166, -5.25166, -5.26782, 2.6294, -5.2355, 3.49177],
[-4.79764, 2.6066, 3.11086, 0.07132, -5.04577, -5.04577, -5.10478, 2.59572, -4.98676, 3.45374],
[-4.56815, 2.61397, 3.40455, 0.06744, -4.8258, -4.8258, -4.92128, 2.53406, -4.73032, 3.38205],
[-4.36126, 2.59496, 3.6, 0.06626, -4.58896, -4.58896, -4.7087, 2.44791, -4.46921, 3.28482],
[-4.14056, 2.5489, 3.6, 0.06895, -4.31685, -4.31685, -4.43312, 2.33917, -4.20059, 3.17877],
[-3.9011, 2.48156, 3.6, 0.07186, -4.02172, -4.02172, -4.12962, 2.23903, -3.91382, 3.08201],
[-3.64592, 2.40094, 3.6, 0.07484, -3.72187, -3.72187, -3.82129, 2.15435, -3.62246, 2.9999],
[-3.37307, 2.31144, 3.6, 0.07781, -3.40015, -3.40015, -3.50054, 2.07893, -3.29976, 2.92402],
[-3.0888, 2.21322, 3.6, 0.08075, -3.07858, -3.07858, -3.18118, 2.00305, -2.97598, 2.84708],
[-2.79455, 2.10762, 3.6, 0.08355, -2.75743, -2.75743, -2.86085, 1.92518, -2.65401, 2.76881],
[-2.49352, 1.99705, 3.6, 0.08613, -2.43642, -2.43642, -2.54095, 1.84675, -2.33189, 2.68983],
[-2.18644, 1.88236, 3.6, 0.08832, -2.11562, -2.11562, -2.21915, 1.76696, -2.0121, 2.61053],
[-1.87158, 1.765, 3.6, 0.08975, -1.79464, -1.79464, -1.89126, 1.68654, -1.69801, 2.53338],
[-1.5476, 1.64992, 3.6, 0.09036, -1.47242, -1.47242, -1.55595, 1.61023, -1.38888, 2.46262],
[-1.21488, 1.54372, 3.6, 0.08918, -1.1481, -1.1481, -1.21488, 1.54372, -1.08132, 2.402],
[-0.87083, 1.52978, 3.6, 0.08699, -0.82153, -0.82153, -0.8741, 1.49093, -0.76895, 2.35315],
[-0.54346, 1.5261, 3.43633, 0.08787, -0.49347, -0.49347, -0.54459, 1.45074, -0.44236, 2.31332],
[-0.24131, 1.52559, 3.05477, 0.09436, -0.16524, -0.16524, -0.23739, 1.41486, -0.09308, 2.2714],
[0.05365, 1.51325, 2.73865, 0.09971, 0.15957, 0.15957, 0.07161, 1.35847, 0.24754, 2.21076],
[0.33349, 1.49675, 2.41331, 0.10662, 0.47961, 0.47961, 0.37605, 1.28115, 0.58317, 2.1274],
